특성별(1),특성별(2),특성별(3),특성별(4),시점,영업시간및일수별(1),영업시간및일수별(2),원데이터,전년 대비 증감,증감률
업종별,일반음식점 외,기타 음식점업,피자·햄버거·샌드위치 및 유사 음식점업,2021,1일 영업시간,12시간 초과 (%),21.8,-3.2,-12.8
업종별,일반음식점 외,기타 음식점업,피자·햄버거·샌드위치 및 유사 음식점업,2021,1일 영업시간,평균 (h),11.7,-0.3,-2.5
업종별,일반음식점 외,기타 음식점업,피자·햄버거·샌드위치 및 유사 음식점업,2021,한달 영업일수,24일 이하 (%),0,-1.5,-100
업종별,일반음식점 외,기타 음식점업,피자·햄버거·샌드위치 및 유사 음식점업,2021,한달 영업일수,25~26일 (%),24.7,5.3,27.3
업종별,일반음식점 외,기타 음식점업,피자·햄버거·샌드위치 및 유사 음식점업,2021,한달 영업일수,27~28일 (%),14.9,1.6,12
업종별,일반음식점 외,기타 음식점업,피자·햄버거·샌드위치 및 유사 음식점업,2021,한달 영업일수,29~30일 (%),60.4,-5.4,-8.2
업종별,일반음식점 외,기타 음식점업,피자·햄버거·샌드위치 및 유사 음식점업,2021,한달 영업일수,평균 (일),28.7,-0.1,-0.3
업종별,일반음식점 외,기타 음식점업,치킨전문점,2021,1일 영업시간,12시간 미만 (%),67.2,11.8,21.3
업종별,일반음식점 외,기타 음식점업,치킨전문점,2021,1일 영업시간,12시간 (%),20.2,-8,-28.4
업종별,일반음식점 외,기타 음식점업,치킨전문점,2021,1일 영업시간,12시간 초과 (%),12.6,-3.8,-23.2
업종별,일반음식점 외,기타 음식점업,치킨전문점,2021,1일 영업시간,평균 (h),10,-0.8,-7.4
업종별,일반음식점 외,기타 음식점업,치킨전문점,2021,한달 영업일수,24일 이하 (%),1.3,0.3,30
업종별,일반음식점 외,기타 음식점업,치킨전문점,2021,한달 영업일수,25~26일 (%),23.9,-2.9,-10.8
업종별,일반음식점 외,기타 음식점업,치킨전문점,2021,한달 영업일수,27~28일 (%),22.5,-1.5,-6.3
업종별,일반음식점 외,기타 음식점업,치킨전문점,2021,한달 영업일수,29~30일 (%),52.3,4.2,8.7
업종별,일반음식점 외,기타 음식점업,치킨전문점,2021,한달 영업일수,평균 (일),28.5,0.2,0.7
업종별,일반음식점 외,기타 음식점업,김밥 및 기타 간이 음식점업,2021,1일 영업시간,12시간 미만 (%),47.7,-5.7,-10.7
업종별,일반음식점 외,기타 음식점업,김밥 및 기타 간이 음식점업,2021,1일 영업시간,12시간 (%),26.4,2,8.2
업종별,일반음식점 외,기타 음식점업,김밥 및 기타 간이 음식점업,2021,1일 영업시간,12시간 초과 (%),25.9,3.8,17.2
업종별,일반음식점 외,기타 음식점업,김밥 및 기타 간이 음식점업,2021,1일 영업시간,평균 (h),11.7,0,0
업종별,일반음식점 외,기타 음식점업,김밥 및 기타 간이 음식점업,2021,한달 영업일수,24일 이하 (%),2.4,-2.1,-46.7
업종별,일반음식점 외,기타 음식점업,김밥 및 기타 간이 음식점업,2021,한달 영업일수,25~26일 (%),47,-3.6,-7.1
업종별,일반음식점 외,기타 음식점업,김밥 및 기타 간이 음식점업,2021,한달 영업일수,27~28일 (%),11.9,-2.9,-19.6
업종별,일반음식점 외,기타 음식점업,김밥 및 기타 간이 음식점업,2021,한달 영업일수,29~30일 (%),38.7,8.6,28.6
업종별,일반음식점 외,기타 음식점업,김밥 및 기타 간이 음식점업,2021,한달 영업일수,평균 (일),27.6,0.5,1.8
업종별,일반음식점 외,기타 음식점업,간이 음식 포장 판매 전문점,2021,1일 영업시간,12시간 미만 (%),79.1,5.5,7.5
